HolyDay,Date,1stEvensongOT,1stEvensongNT,MattinsOT,MattinsNT,2ndEvensongOT,2ndEvensongNT
St Andrew,11-30,Ecclesiasticus 14:20–end,John 1:35–42,Zechariah 8:20–end,John 12:20–32,Ezekiel 47:1–12,1 Corinthians 1:18–end
St Thomas,12-21,2 Samuel 15:17–21,John 11:1–16,Job 42:1–6,John 14:1–7,Isaiah 35,1 Peter 1:3–9
Conversion of St Paul,01-25,Jeremiah 1:4–10,Acts 26:1–23,Isaiah 49:1–13,Galatians 1:11–end,Isaiah 45:18–end,Philippians 3:1–14
Purification of the Virgin Mary,02-02,Exodus 13:11–16,Galatians 4:1–7,1 Samuel 1:21–end,Hebrews 10:1–10,Haggai 2:1–9,Romans 12:1–5
St Matthias,02-24,Isaiah 22:15–22,John 15:1–16,1 Samuel 2:27–35,Matthew 7:15–27,1 Samuel 16:1–13,Acts 20:17–35
Annunciation of Our Lady,03-25,Genesis 3:1–15,Romans 5:12–21,Isaiah 52:7–12,Hebrews 2:5–end,1 Samuel 2:1–11,Matthew 1:18–23
St Mark,04-25,Ezekiel 1,Acts 12:25–13:13,Ecclesiasticus 51:13–end,Acts 15:35–end,Isaiah 62:6–end,2 Timothy 4:1–11
St Phillip and St James,05-01,Proverbs 4:10–18,John 1:43–end,Job 23:1–12,John 6:1–14,Isaiah 30:15–21,John 17:1–8
St Barnabas,06-11,Job 29:11–16,Acts 4:32–end,Jeremiah 9:23–24,Acts 9:26–31,Isaiah 42:5–12,Acts 14:8–end
St John Baptist,06-24,Malachi 3:1–6,Luke 1:5–23,Ecclesiasticus 48:1–10,Luke 3:1–20,Malachi 4,Matthew 11:2–19
St Peter,06-29,Ezekiel 2:1–7,Acts 3,Ezekiel 3:4–11,Acts 11:1–18,Ezekiel 34:11–16,John 21:15–22
St Mary Magdalene,07-22,Proverbs 31:10–end,Luke 8:1–3,Isaiah 52:7–10,John 20:1–10,Zephaniah 3:14–end,Mark 15:40–16:7
St James,07-25,2 Kings 1:1–15,Luke 9:46–56,Jeremiah 45,Mark 1:14–20,Jeremiah 26:1–15,Mark 5:21–end
Transfiguration,08-06,Exodus 24:12–end,Luke 8:28–45,Exodus 34:29–end,2 Corinthians 3,1 Kings 19:1–16,2 Peter 1:12–end
St Bartholomew,08-24,Genesis 28:10–17,John 1:43–end,Ecclesiasticus 39:1–10,Matthew 10:1–15,Deuteronomy 18:15–19,Matthew 10:16–22
St Matthew,09-21,1 Kings 19:15–end,Matthew 6:19–end,Proverbs 3:1–18,Matthew 19:16–end,1 Chronicles 29:9–17,1 Timothy 6:6–19
St Michael,09-29,Ezekiel 10:8–end,Revelation 5,2 Kings 6:8–17,Acts 12:1–11,Daniel 10:4–end,Matthew 13:24–30 & 13:36–43
St Luke,10-18,Isaiah 55,Luke 1:1–4,Isaiah 61:1–6,Acts 16:6–18,Ecclesiasticus 38:1–14,Colossians 4:7–end
St Simon and St Jude,10-28,Isaiah 28:9–16,Ephesians 2:11–end,Ecclesiasticus 2,Luke 6:12–23,1 Maccabees 2:42–66,Jude 17–end
All Saints,11-01,Wisdom 3:1–9,Hebrews 11:32–12:2,Wisdom 5:1–16,Revelation 19:6–10,Ecclesiasticus 44:1–15,Revelation 7:9–end