Day,Weekday,MorningOT1,MorningOT2,MorningOT3,MorningNT1,MorningNT2,MorningNT3,EveningOT1,EveningOT2,EveningOT3,EveningNT1,EveningNT2,EveningNT3
9th Sunday after Trinity,Monday,2 Kings 20,,,1 Corinthians 15:1–34,,,2 Chronicles 33,,,Matthew 23,,
9th Sunday after Trinity,Tuesday,2 Kings 22,,,1 Corinthians 15:35–end,,,2 Kings 23:1–20,,,Mark 12:41–13:13,,
9th Sunday after Trinity,Wednesday,2 Kings 23:21–35,,,1 Corinthians 16,,,2 Kings 23:36–24:17,,,Mark 13:14–end,,
9th Sunday after Trinity,Thursday,2 Kings 24:18–25:7,,,2 Corinthians 1:1–22,,,2 Kings 25:8–end,,,Matthew 25:1–30,,
9th Sunday after Trinity,Friday,Jeremiah 19,,,2 Corinthians 1:23–2:end,,,Jeremiah 21:1–10,,,Matthew 25:31–end,,
9th Sunday after Trinity,Saturday,Jeremiah 22:20–23:8,,,2 Corinthians 3,,,Jeremiah 24,,,Mark 14:1–26,,
10th Sunday after Trinity,,1 Kings 21,Ecclesiasticus 3:17–29,,Luke 1:26–56,Philippians 4,,1 Kings 22:1–40,1 Kings 4:8–37,Ecclesiasticus 11:7–28,Matthew 13:24–52,Acts 27,
10th Sunday after Trinity,Monday,Jeremiah 25:1–14,,,2 Corinthians 4,,,Jeremiah 27:2–end,,,Mark 14:27–52,,
10th Sunday after Trinity,Tuesday,Jeremiah 28,,,2 Corinthians 5,,,Jeremiah 29:1–20,,,Mark 14:53–end,,
10th Sunday after Trinity,Wednesday,Jeremiah 32:1–25,,,2 Corinthians 5:20–7:1,,,Jeremiah 32:26–end,,,Mark 15:1–41,,
10th Sunday after Trinity,Thursday,Jeremiah 33,,,2 Corinthians 7:2–end,,,Jeremiah 34:8–end,,,Luke 23:33–end,,
10th Sunday after Trinity,Friday,Jeremiah 37,,,2 Corinthians 8,,,Jeremiah 38:1–13,,,Mark 15:42–16:end,,
10th Sunday after Trinity,Saturday,Jeremiah 38:14–end,,,2 Corinthians 9,,,Jeremiah 39,,,Luke 24:13–end,,
11th Sunday after Trinity,,2 Kings 5,Ecclesiasticus 18:1–14,,Luke 1:57–end,Colossians 3:12–4:6,,2 Kings 6:8–23,2 Kings 17:1–23,Ecclesiasticus 38:24–end,Matthew 16:13–end,Acts 28,
11th Sunday after Trinity,Monday,Jeremiah 40,,,2 Corinthians 10,,,Jeremiah 41,,,John 1:1–28,,
11th Sunday after Trinity,Tuesday,Jeremiah 42,,,2 Corinthians 11,,,Jeremiah 43,,,John 1:29–end,,
11th Sunday after Trinity,Wednesday,Jeremiah 44:1–14,,,2 Corinthians 12:1–13,,,Jeremiah 44:15–end,,,John 2,,
11th Sunday after Trinity,Thursday,Ezekiel 2,,,2 Corinthians 12:14–13:end,,,Ezekiel 3:4–end,,,John 3:1–21,,
11th Sunday after Trinity,Friday,Ezekiel 8,,,Romans 1,,,Ezekiel 9,,,John 3:22–end,,
11th Sunday after Trinity,Saturday,Ezekiel 11:14–end,,,Romans 2:1–16,,,Ezekiel 33:21–end,,,John 4:1–26,,
12th Sunday after Trinity,,2 Kings 18:13-end,Micah 6,,Luke 4:1–15,Philemon,,2 Kings 19,Isaiah 38:1–20,Micah 7,Matthew 18:15–end,Ephesians 1,
12th Sunday after Trinity,Monday,Ezra 1,,,Romans 2:17–end,,,Ezra 3,,,John 4:27–end,,
12th Sunday after Trinity,Tuesday,Ezra 4,,,Romans 3,,,Haggai 1:1–2:9,,,John 5:1–23,,
12th Sunday after Trinity,Wednesday,Zechariah 1:1–17,,,Romans 4,,,Zechariah 1:18–2:end,,,John 5:24–end,,
12th Sunday after Trinity,Thursday,Zechariah 3,,,Romans 5,,,Zechariah 4,,,John 6:1–21,,
12th Sunday after Trinity,Friday,Zechariah 6:9–end,,,Romans 6,,,Haggai 2:10–end,,,John 6:22–40,,
12th Sunday after Trinity,Saturday,Ezra 5,,,Romans 7,,,Ezra 6,,,John 6:41–end,,
13th Sunday after Trinity,,2 Kings 22,Habakkuk 2:1–14,,Luke 4:31–5:11,1 Timothy 6,,2 Kings 23:1–30,2 Chronicles 36:1–21,Habakkuk 3:2–end,Matthew 20:1–28,Ephesians 2,
13th Sunday after Trinity,Monday,Zechariah 7,,,Romans 8:1–17,,,Zechariah 8,,,John 7:1–24,,
13th Sunday after Trinity,Tuesday,Ezra 7,,,Romans 8:18–end,,,Ezra 8:15–end,,,John 7:25–end,,
13th Sunday after Trinity,Wednesday,Ezra 9,,,Romans 9,,,Ezra 10:1–19,,,John 8:1–30,,
13th Sunday after Trinity,Thursday,Nehemiah 1,,,Romans 10,,,Nehemiah 2,,,John 8:31–end,,
13th Sunday after Trinity,Friday,Nehemiah 4,,,Romans 11:1–24,,,Nehemiah 5,,,John 9,,
13th Sunday after Trinity,Saturday,Nehemiah 6:1–7:4,,,Romans 11:25–end,,,Nehemiah 8,,,John 10:1–21,,
14th Sunday after Trinity,,Ezra 1:1–8 & 3,Zephaniah 1,,Luke 7:36–end,1 Corinthians 13,,Nehemiah 1:1–2:8,Daniel 1,Zephaniah 3,Matthew 21:23–end,Ephesians 4:1–24,
14th Sunday after Trinity,Monday,Nehemiah 9:1–23,,,Romans 12,,,Nehemiah 9:24–end,,,John 10:22–end,,
14th Sunday after Trinity,Tuesday,Nehemiah 13,,,Romans 13,,,Daniel 2:1–24,,,John 11:1–44,,
14th Sunday after Trinity,Wednesday,Daniel 2:25–end,,,Romans 14,,,Daniel 4:1–18,,,John 11:45–end,,
14th Sunday after Trinity,Thursday,Daniel 4:19–end,,,Romans 15:1–13,,,Daniel 7:8–end,,,John 12:1–19,,
14th Sunday after Trinity,Friday,Daniel 9:1–19,,,Romans 15:14–end,,,Daniel 9:20–end,,,John 12:20–end,,
14th Sunday after Trinity,Saturday,Daniel 10,,,Romans 16,,,Daniel 12,,,John 13,,
15th Sunday after Trinity,,Daniel 3,,,Luke 9:57–10:24,2 Timothy 1,,Daniel 5,Daniel 6,,Matthew 28,Ephesians 4:25–5:21,
15th Sunday after Trinity,Monday,Esther 1,,,Philippians 1:1–11,,,Esther 2:5–11 & 15–end,,,John 14:1–14,,
15th Sunday after Trinity,Tuesday,Esther 3,,,Philippians 1:12–end,,,Esther 4,,,John 14:15–end,,
15th Sunday after Trinity,Wednesday,Esther 5,,,Philippians 2:1–11,,,Esther 6 & 7,,,John 15,,
15th Sunday after Trinity,Thursday,1 Maccabees 1:1–19,,,Philippians 2:12–end,,,1 Maccabees 1:20–40,,,John 16:1–15,,
15th Sunday after Trinity,Friday,1 Maccabees 1:41–end,,,Philippians 3,,,1 Maccabees 2:1–28,,,John 16:16–end,,
15th Sunday after Trinity,Saturday,1 Maccabees 2:29–48,,,Philippians 4,,,1 Maccabees 2:49–end,,,John 17,,
16th Sunday after Trinity,,Jeremiah 5:1–19,,,Luke 11:1–28,Titus 2:1–3:7,,Jeremiah 5:20–end,Jeremiah 7:1–15,,John 8:12–30,Ephesians 5:22–6:9,
16th Sunday after Trinity,Monday,1 Maccabees 3:1–26,,,Colossians 1:1–20,,,1 Maccabees 3:27–41,,,John 18:1–27,,
16th Sunday after Trinity,Tuesday,1 Maccabees 3:42–end,,,Colossians 1:21–2:7,,,1 Maccabees 4:1–25,,,John 18:28–end,,
16th Sunday after Trinity,Wednesday,1 Maccabees 4:26–35,,,Colossians 2:8–19,,,1 Maccabees 4:36–end,,,John 19:1–30,,
16th Sunday after Trinity,Thursday,1 Maccabees 6:1–17,,,Colossians 2:20–3:11,,,1 Maccabees 6:18–47,,,John 19:31–end,,
16th Sunday after Trinity,Friday,1 Maccabees 7:1–20,,,Colossians 3:12–4:1,,,1 Maccabees 7:21–end,,,John 20,,
16th Sunday after Trinity,Saturday,1 Maccabees 9:1–22,,,Colossians 4:2–end,,,1 Maccabees 13:41–end & 14:4–15,,,John 21,,
17th Sunday after Trinity,,Jeremiah 17:5–14,,,Luke 11:29–end,1 Peter 1:1–21,,Jeremiah 18:1–17,Jeremiah 22:1–19,,John 8:31–end,Ephesians 6:10–end,
17th Sunday after Trinity,Monday,Job 1,,,Philemon,,,Job 2,,,Luke 1:1–23,,
17th Sunday after Trinity,Tuesday,Job 3,,,Ephesians 1:1–14,,,Job 4,,,Luke 1:24–56,,
17th Sunday after Trinity,Wednesday,Job 5,,,Ephesians 1:15–end,,,Job 6,,,Luke 1:57–end,,
17th Sunday after Trinity,Thursday,Job 7,,,Ephesians 2:1–10,,,Job 8,,,Luke 2:1–21,,
17th Sunday after Trinity,Friday,Job 9,,,Ephesians 2:11–end,,,Job 10,,,Luke 2:22–end,,
17th Sunday after Trinity,Saturday,Job 11,,,Ephesians 3,,,Job 12,,,Luke 3:1–22,,
18th Sunday after Trinity,,Jeremiah 26,,,Luke 12:1–34,1 Peter 1:22–2:10,,Jeremiah 30:1–3 & 30:10–22,Jeremiah 31:1–20,,John 13,1 John 1:1–2:11,
18th Sunday after Trinity,Monday,Job 13,,,Ephesians 4:1–16,,,Job 14,,,Luke 4:1–30,,
18th Sunday after Trinity,Tuesday,Job 15:1–16,,,Ephesians 4:17–30,,,Job 16:1–17:2,,,Luke 4:31–end,,
18th Sunday after Trinity,Wednesday,Job 17:3–end,,,Ephesians 4:31–5:21,,,Job 18,,,Luke 5:1–16,,
18th Sunday after Trinity,Thursday,Job 19,,,Ephesians 5:22–end,,,Job 21,,,Luke 5:17–end,,
18th Sunday after Trinity,Friday,Job 22,,,Ephesians 6:1–9,,,Job 23,,,Luke 6:1–19,,
18th Sunday after Trinity,Saturday,Job 24,,,Ephesians 6:10–end,,,Job 25:1–26:end,,,Luke 6:20–38,,
19th Sunday after Trinity,,Jeremiah 31:23–37,,,Luke 12:35–end,1 Peter 2:11–3:7,,Jeremiah 35,Jeremiah 36,,John 14,1 John 2:21–end,
19th Sunday after Trinity,Monday,Job 27,,,1 Timothy 1:1–17,,,Job 28,,,Luke 6:39–7:10,,
19th Sunday after Trinity,Tuesday,Job 29:1–30:1,,,1 Timothy 1:18–2:end,,,Job 31:13–end,,,Luke 7:11–35,,
19th Sunday after Trinity,Wednesday,Job 32,,,1 Timothy 3,,,Job 33,,,Luke 7:36–end,,
19th Sunday after Trinity,Thursday,Job 38:1–21,,,1 Timothy 4,,,Job 38:22–end,,,Luke 8:1–21,,
19th Sunday after Trinity,Friday,Job 39,,,1 Timothy 5,,,Job 40,,,Luke 8:22–end,,
19th Sunday after Trinity,Saturday,Job 41,,,1 Timothy 6,,,Job 42,,,Luke 9:1–17,,
20th Sunday after Trinity,,Ezekiel 2,,,Luke 13,1 Peter 3:8–4:6,,Ezekiel 3:4–21,Ezekiel 13:1–16,,John 15,1 John 3,
20th Sunday after Trinity,Monday,Proverbs 1:1–19,,,Titus 1:1–2:8,,,Proverbs 1:20–end,,,Luke 9:18–50,,
20th Sunday after Trinity,Tuesday,Proverbs 2,,,Titus 2:9–3:end,,,Proverbs 3:1–26,,,Luke 9:51–end,,
20th Sunday after Trinity,Wednesday,Proverbs 3:27–4:19,,,2 Timothy 1,,,Proverbs 4:20–5:14,,,Luke 10:1–24,,
20th Sunday after Trinity,Thursday,Proverbs 6:1–19,,,2 Timothy 2,,,Proverbs 8,,,Luke 10:25–end,,
20th Sunday after Trinity,Friday,Proverbs 9,,,2 Timothy 3,,,Proverbs 10:1–22,,,Luke 11:1–28,,
20th Sunday after Trinity,Saturday,Proverbs 11:1–25,,,2 Timothy 4,,,Proverbs 12:10–end,,,Luke 11:29–end,,
21st Sunday after Trinity,,Ezekiel 14,,,Luke 14:1–24,1 Peter 4:7–5:11,,Ezekiel 18:1–4 & 18:19–end,Ezekiel 33:1–20,,John 16,1 John 4,
21st Sunday after Trinity,Monday,Proverbs 14:9–27,,,Luke 12:1–34,,,Proverbs 15:18–end,,,Luke 12:35–53,,
21st Sunday after Trinity,Tuesday,Proverbs 16:31–17:17,,,Luke 12:54–13:9,,,Proverbs 18:10–end,,,Luke 13:10–end,,
21st Sunday after Trinity,Wednesday,Proverbs 20:1–22,,,Luke 14:1–24,,,Proverbs 22:1–16,,,Luke 14:25–15:10,,
21st Sunday after Trinity,Thursday,Proverbs 24:23–end,,,Luke 15:11–end,,,Proverbs 25,,,Luke 16,,
21st Sunday after Trinity,Friday,Proverbs 26:12–end,,,Luke 17:1–19,,,Proverbs 27:1–22,,,Luke 17:20–end,,
21st Sunday after Trinity,Saturday,Proverbs 30:1–16,,,Luke 18:1–30,,,Proverbs 31:10–end,,,Luke 18:31–19:10,,
22nd Sunday after Trinity,,Ezekiel 34:1–16,,,Luke 14:25–15:10,2 Peter 1,,Ezekiel 34:17–end,Ezekiel 37:15–end,,John 17,1 John 5,
22nd Sunday after Trinity,Monday,Ecclesiastes 1,,,Luke 19:11–28,,,Ecclesiastes 2:1–23,,,Luke 19:29–end,,
22nd Sunday after Trinity,Tuesday,Ecclesiastes 3:1–15,,,Luke 20:1–26,,,Ecclesiastes 3:16–4:6,,,Luke 20:27–21:4,,
22nd Sunday after Trinity,Wednesday,Ecclesiastes 4:7–end,,,Luke 21:5–end,,,Ecclesiastes 5,,,Luke 22:1–38,,
22nd Sunday after Trinity,Thursday,Ecclesiastes 6,,,Luke 22:39–53,,,Ecclesiastes 7:1–14,,,Luke 22:54–end,,
22nd Sunday after Trinity,Friday,Ecclesiastes 7:15–end,,,Luke 23:1–25,,,Ecclesiastes 8,,,Luke 23:26–49,,
22nd Sunday after Trinity,Saturday,Ecclesiastes 9,,,Luke 23:50–24:12,,,Ecclesiastes 10:5–18,,,Luke 24:13–end,,
23rd Sunday after Trinity,,Proverbs 1:20–end,1 Maccabees 2:1–28,,Luke 16,1 Corinthians 1:1–25,,Proverbs 2,Proverbs 3:1–26,1 Maccabees 2:29–48,John 9,1 Corinthians 13,
23rd Sunday after Trinity,Monday,Ecclesiasticus 1:1–10,,,Acts 1,,,Ecclesiasticus 1:11–end,,,Acts 2:1–21,,
23rd Sunday after Trinity,Tuesday,Ecclesiasticus 2,,,Acts 2:22–end,,,Ecclesiasticus 3:17–29,,,Acts 3:1–4:4,,
23rd Sunday after Trinity,Wednesday,Ecclesiasticus 4:11–28,,,Acts 4:5–31,,,Ecclesiasticus 4:29–6:1,,,Acts 4:32–5:11,,
23rd Sunday after Trinity,Thursday,Ecclesiasticus 6:14–31,,,Acts 5:12–6:7,,,Ecclesiasticus 7:27–end,,,Acts 6:8–7:16,,
23rd Sunday after Trinity,Friday,Ecclesiasticus 10:6–8 & 10:12–24,,,Acts 7:17–34,,,Ecclesiasticus 11:7–28,,,Acts 7:35–8:4,,
23rd Sunday after Trinity,Saturday,Ecclesiasticus 14:20–15:10,,,Acts 8:4–25,,,Ecclesiasticus 15:11–end,,,Acts 8:26–end,,
24th Sunday after Trinity,,Proverbs 8:1–21,1 Maccabees 2:49–end,,Luke 17:1–19,1 Corinthians 1:26–2:end,,Proverbs 8:1 & 8:22–end,Proverbs 9,1 Maccabees 3:1–26,John 10,James 3,
24th Sunday after Trinity,Monday,Ecclesiasticus 16:17–end,,,Acts 9:1–31,,,Ecclesiasticus 17:1–24,,,Acts 9:32–end,,
24th Sunday after Trinity,Tuesday,Ecclesiasticus 18:1–14,,,Acts 10:1–23,,,Ecclesiasticus 19:13–end,,,Acts 10:24–end,,
24th Sunday after Trinity,Wednesday,Ecclesiasticus 21:1–17,,,Acts 11:1–18,,,Ecclesiasticus 22:6–22,,,Acts 11:19–end,,
24th Sunday after Trinity,Thursday,Ecclesiasticus 22:27–23:15,,,Acts 12:1–24,,,Ecclesiasticus 24:1–22,,,Acts 12:25–13:12,,
24th Sunday after Trinity,Friday,Ecclesiasticus 24:23–end,,,Acts 13:13–43,,,Ecclesiasticus 27:30–28:9,,,Acts 13:44–14:7,,
24th Sunday after Trinity,Saturday,Ecclesiasticus 31:1–11,,,Acts 14:8–end,,,Ecclesiasticus 34:9–end,,,Acts 15:1–21,,
25th Sunday after Trinity,,Proverbs 13,1 Maccabees 4:1–25,,Luke 22:1–38,1 Corinthians 3,,Proverbs 14:31–15:17,Proverbs 16:1–19,1 Maccabees 4:26–35,Luke 22:39–end,James 4,
25th Sunday after Trinity,Monday,Ecclesiasticus 35,,,Acts 15:22–35,,,Ecclesiasticus 37:1–15,,,Acts 15:36–16:5,,
25th Sunday after Trinity,Tuesday,Ecclesiasticus 38,,,Acts 16:6–end,,,Ecclesiasticus 38:24–end,,,Acts 17:1–15,,
25th Sunday after Trinity,Wednesday,Ecclesiasticus 39:1–11,,,Acts 17:16–end,,,Ecclesiasticus 39:13–end,,,Acts 18:1–23,,
25th Sunday after Trinity,Thursday,Ecclesiasticus 42:15–end,,,Acts 18:24–19:7,,,Ecclesiasticus 43:1–12,,,Acts 19:8–20,,
25th Sunday after Trinity,Friday,Ecclesiasticus 43:13–end,,,Acts 19:21–end,,,Ecclesiasticus 50:1–24,,,Acts 20:1–16,,
25th Sunday after Trinity,Saturday,Ecclesiasticus 51:1–12,,,Acts 20:17–end,,,Ecclesiasticus 51:13–end,,,Acts 21:1–16,,
26th Sunday after Trinity,,Proverbs 23:15–end,1 Maccabees 4:36–end,,Luke 23:1–25,Jude,,Proverbs 24:23–end,Proverbs 31:10–end,1 Maccabees 14:4–15,Luke 23:26–end,James 5,
26th Sunday after Trinity,Monday,Tobit 4:5–19,,,Acts 21:17–36,,,Tobit 13,,,Acts 21:37–22:22,,
26th Sunday after Trinity,Tuesday,Baruch 1:15–2:10,,,Acts 22:23–23:11,,,Baruch 2:11–end,,,Acts 23:12–end,,
26th Sunday after Trinity,Wednesday,Baruch 3:1–8,,,Acts 24:1–23,,,Baruch 3:9–end,,,Acts 24:24–25:12,,
26th Sunday after Trinity,Thursday,Baruch 4:21–30,,,Acts 25:13–end,,,Baruch 4:36–5:end,,,Acts 26,,
26th Sunday after Trinity,Friday,2 Maccabees 4:7–17,,,Acts 27:1–26,,,2 Maccabees 6:12–end,,,Acts 27:27–end,,
26th Sunday after Trinity,Saturday,2 Maccabees 7:1–19,,,Acts 28:1–15,,,2 Maccabees 7:20–41,,,Acts 28:16–end,,
Sunday next before Advent,,Ecclesiastes 11 & 12,,,John 19:13–end,Hebrews 11:1–16,,Haggai 2:1–9,Malachi 3 & 4,,John 20,Hebrews 11:17–12:2,Luke 15:11–end
Sunday next before Advent,Monday,Wisdom 1,,,Revelation 1,,,Wisdom 2,,,Revelation 2,,
Sunday next before Advent,Tuesday,Wisdom 3:1–9,,,Revelation 3,,,Wisdom 4:7–end,,,Revelation 4,,
Sunday next before Advent,Wednesday,Wisdom 5:1–16,,,Revelation 5,,,Wisdom 6:1–21,,,Revelation 6,,
Sunday next before Advent,Thursday,Wisdom 7:15–8:4,,,Revelation 7,,,Wisdom 8:5–18,,,Revelation 10 & 11:1–14,,
Sunday next before Advent,Friday,Wisdom 8:21–9:end,,,Revelation 11:15–12:end,,,Wisdom 10:15–11:10,,,Revelation 14:1–13,,
Sunday next before Advent,Saturday,Wisdom 11:21–12:2,,,Revelation 18,,,Wisdom 12:21–21,,,Revelation 19:1–16,,